,capital,latitud_dec,altitud,num_hab,zona_comarcal,longitud_dec
2558,Embid,40.97172389,1075.0,44,681902,-1.71263318
2559,Embid de Ariza,41.38089701,764.0,49,625002,-1.97122135
2560,Emperador,39.55359919,17.0,684,774602,-0.34062500
2561,Encina de San Silvestre,41.01476287,805.0,114,673701,-6.09166847
2562,"Encina, La",40.49912426,797.0,121,673701,-6.53107858
2563,Encinacorba,41.28520927,766.0,235,625002,-1.27667754
2564,Encinas,41.37476904,1012.0,52,674001,-3.66852393
2565,Encinas Reales,37.27334279,441.0,2375,611403,-4.48724904
2566,Encinas de Abajo,40.93423234,793.0,627,673701,-5.47013283
2567,Encinas de Arriba,40.77165069,816.0,253,673701,-5.55732894
2568,Encinas de Esgueva,41.75651425,829.0,275,674701,-4.10441195
2569,Encinasola,38.13527618,431.0,1304,612101,-6.87243524
2570,Encinasola de los Comendadores,41.03152525,713.0,203,673701,-6.53136161
2571,Encinedo,42.27151828,997.0,809,672401,-6.59448364
2572,Encinillas,41.01781875,947.0,242,674001,-4.15791344
2573,Enciso,42.14939658,814.0,164,762602,-2.27015905
2574,Encío,42.67046641,661.0,46,670902,-3.08738906
2575,Endrinal,40.59004563,924.0,238,673703,-5.80425924
2576,Enguera,38.97823024,320.0,5291,774603,-0.68736433
2577,Enguídanos,39.67359150,734.0,353,681602,-1.60686060
2578,Enix,36.87693930,716.0,440,610403,-2.60175846
2579,Entrala,41.42961243,699.0,164,674902,-5.75679084
2580,Entrambasaguas,43.37786456,45.0,4914,663901,-3.68118759
2581,Entrena,42.38866106,561.0,1541,762601,-2.53138434
2582,"Terrachá, A",41.93239958,508.0,1323,713203,-8.11459709
2583,Entrín Bajo,38.71905481,241.0,580,700603,-6.71439072
2584,Enériz/Eneritz,42.67083634,423.0,334,743102,-1.72826687
2585,Altzaga,43.30730134,23.0,24311,754801,-2.95370724
2586,Eratsun,43.08320767,527.0,160,743101,-1.79747512
2587,"Ercina, La",42.81291316,1102.0,501,672401,-5.21741441
2588,Elexalde-Zeeta,43.35604234,281.0,244,754801,-2.62329739
2589,Lizarraga,42.87456202,582.0,400,743102,-2.03386133
2590,Erla,42.11723697,426.0,375,625001,-0.94865115
2591,Ermua,43.18608445,166.0,16109,754802,-2.50233303
2592,Errenteria,43.31420230,12.0,39230,752001,-1.90440508
2593,Errezil,43.16474686,304.0,594,752002,-2.17401811
2594,Pobes,42.80074682,545.0,751,750102,-2.91080642
2595,Errigoiti,43.31894643,241.0,520,754801,-2.72514827
2596,Lintzoain,42.94255282,668.0,809,743103,-1.44967943
2597,Erustes,39.95626406,537.0,238,684502,-4.49632544
2598,Escacena del Campo,37.41035142,171.0,2082,612102,-6.38975689
2599,"Escala, L'",42.12467235,13.0,10143,691703,3.13299609
2600,Escalante,43.43681084,0.0,754,663901,-3.51220282
2601,Escalona,40.16583078,457.0,3349,684502,-4.40159460
2602,Escalona del Prado,41.16662570,890.0,564,674001,-4.12277734
2603,Escalonilla,39.92484479,547.0,1478,684502,-4.34900711
2604,Escamilla,40.54937754,1020.0,73,681903,-2.56247766
2605,Escarabajosa de Cabezas,41.10405553,884.0,331,674001,-4.19462881
2606,Escariche,40.40799247,788.0,190,681903,-3.05623135
2607,Escatrón,41.29269832,145.0,1113,625003,-0.32422923
2608,Escañuela,37.87910806,315.0,950,612303,-4.03314945
2609,Escobar de Campos,42.31291688,818.0,48,672403,-4.96705164
2610,Escobar de Polendos,41.09084366,903.0,193,674001,-4.13094012
2611,Escobosa de Almazán,41.48684266,1081.0,28,674202,-2.37088435
2612,Escopete,40.41639306,858.0,57,681903,-3.00825307
2613,Lluc,39.82311033,481.0,241,645401,2.88475312
2614,"Escorial, El",40.58496220,905.0,15244,722801,-4.12698622
2615,Escorihuela,40.54573399,1134.0,160,624401,-0.97321989
2616,Escucha,40.79551454,1073.0,981,624402,-0.80971602
2617,Escurial,39.16814835,315.0,788,701004,-5.88299867
2618,Escurial de la Sierra,40.61569307,961.0,265,673702,-5.95671795
2619,Escúzar,37.06231421,873.0,780,611801,-3.76129307
2620,Esgos,42.32494543,580.0,1216,713204,-7.69581482
2621,Esguevillas de Esgueva,41.75163375,780.0,282,674701,-4.37997808
2622,Eskoriatza,43.01682946,279.0,4090,752002,-2.52821422
